,Component,Waiting,Interpolation,Sending
1576800,0.596,0.000,0.001,0.000
1579500,0.266,0.000,0.001,0.000
1582200,0.269,0.000,0.002,0.000
1584900,0.265,0.000,0.002,0.000
1587600,0.466,0.000,0.001,0.000
1590300,0.258,0.000,0.002,0.000
1593000,0.264,0.000,0.001,0.000
1595700,0.263,0.000,0.006,0.000
1598400,0.523,0.000,0.001,0.000
1601100,0.265,0.000,0.002,0.000
1603800,0.273,0.000,0.001,0.000
1606500,0.278,0.000,0.001,0.000
1609200,0.471,0.000,0.002,0.000
1611900,0.265,0.000,0.001,0.000
1614600,0.270,0.000,0.005,0.000
1617300,0.264,0.000,0.002,0.000
1620000,0.531,0.000,0.001,0.000
1622700,0.265,0.000,0.004,0.000
1625400,0.265,0.000,0.001,0.000
1628100,0.262,0.000,0.003,0.000
1630800,0.458,0.000,0.001,0.000
1633500,0.257,0.000,0.005,0.000
1636200,0.260,0.000,0.001,0.000
1638900,0.257,0.000,0.001,0.000
1641600,0.566,0.000,0.001,0.000
1644300,0.257,0.000,0.002,0.000
1647000,0.261,0.000,0.001,0.000
1649700,0.258,0.000,0.001,0.000
1652400,0.461,0.000,0.002,0.000
1655100,0.258,0.000,0.002,0.000
1657800,0.264,0.000,0.002,0.000
1660500,0.261,0.000,0.002,0.000
1663200,0.524,0.000,0.001,0.000
1665900,0.264,0.000,0.002,0.000
1668600,0.269,0.000,0.002,0.000
1671300,0.265,0.000,0.001,0.000
1674000,0.466,0.000,0.002,0.000
1676700,0.262,0.000,0.002,0.000
1679400,0.267,0.000,0.003,0.000
1682100,0.263,0.000,0.002,0.000
1684800,0.597,0.000,0.002,0.000
1687500,0.268,0.000,0.002,0.000
1690200,0.274,0.000,0.001,0.000
1692900,0.271,0.000,0.001,0.000
1695600,0.471,0.000,0.001,0.000
1698300,0.269,0.000,0.005,0.000
1701000,0.271,0.000,0.001,0.000
1703700,0.269,0.000,0.002,0.000
1706400,0.525,0.000,0.001,0.000
1709100,0.258,0.000,0.001,0.000
1711800,0.262,0.000,0.002,0.000
1714500,0.259,0.000,0.001,0.000
1717200,0.458,0.000,0.006,0.000
1719900,0.257,0.000,0.002,0.000
1722600,0.263,0.000,0.002,0.000
1725300,0.259,0.000,0.001,0.000
1728000,0.727,0.000,0.001,0.000
1730700,0.259,0.000,0.001,0.000
1733400,0.265,0.000,0.002,0.000
1736100,0.258,0.000,0.002,0.000
1738800,0.459,0.000,0.002,0.000
1741500,0.260,0.000,0.001,0.000
1744200,0.268,0.000,0.001,0.000
1746900,0.261,0.000,0.002,0.000
1749600,0.530,0.000,0.002,0.000
1752300,0.263,0.000,0.002,0.000
1755000,0.271,0.000,0.002,0.000
1757700,0.267,0.000,0.002,0.000
1760400,0.467,0.000,0.002,0.000
1763100,0.266,0.000,0.002,0.000
1765800,0.267,0.000,0.002,0.000
1768500,0.259,0.000,0.002,0.000
1771200,0.521,0.000,0.012,0.000
1773900,0.265,0.000,0.001,0.000
1776600,0.274,0.000,0.003,0.000
1779300,0.269,0.000,0.006,0.000
1782000,0.464,0.000,0.002,0.000
1784700,0.277,0.000,0.002,0.000
1787400,0.279,0.000,0.004,0.000
1790100,0.267,0.000,0.002,0.000
1792800,0.622,0.000,0.002,0.000
1795500,0.262,0.000,0.002,0.000
1798200,0.262,0.000,0.002,0.000
1800900,0.259,0.000,0.004,0.000
1803600,0.456,0.000,0.005,0.000
1806300,0.257,0.000,0.004,0.000
1809000,0.263,0.000,0.002,0.000
1811700,0.263,0.000,0.002,0.000
1814400,0.534,0.000,0.001,0.000
1817100,0.259,0.000,0.002,0.000
1819800,0.262,0.000,0.001,0.000
1822500,0.260,0.000,0.002,0.000
1825200,0.459,0.000,0.002,0.000
1827900,0.263,0.000,0.002,0.000
1830600,0.263,0.000,0.001,0.000
1833300,0.265,0.000,0.001,0.000
1836000,0.528,0.000,0.002,0.000
1838700,0.264,0.000,0.002,0.000
1841400,0.266,0.000,0.003,0.000
1844100,0.262,0.000,0.002,0.000
1846800,0.462,0.000,0.002,0.000
1849500,0.263,0.000,0.002,0.000
1852200,0.267,0.000,0.002,0.000
1854900,0.264,0.000,0.005,0.000
1857600,0.581,0.000,0.002,0.000
1860300,0.261,0.000,0.002,0.000
1863000,0.271,0.000,0.002,0.000
1865700,0.265,0.000,0.006,0.000
1868400,0.461,0.000,0.002,0.000
1871100,0.265,0.000,0.001,0.000
1873800,0.270,0.000,0.003,0.000
1876500,0.289,0.000,0.002,0.000
1879200,0.531,0.000,0.001,0.000
1881900,0.264,0.000,0.001,0.000
1884600,0.267,0.000,0.001,0.000
1887300,0.266,0.000,0.001,0.000
1890000,0.463,0.000,0.001,0.000
1892700,0.261,0.000,0.001,0.000
1895400,0.265,0.000,0.003,0.000
1898100,0.266,0.000,0.002,0.000
1900800,0.572,0.000,0.001,0.000
1903500,0.268,0.000,0.002,0.000
1906200,0.268,0.000,0.001,0.000
1908900,0.264,0.000,0.002,0.000
1911600,0.462,0.000,0.002,0.000
1914300,0.260,0.000,0.006,0.000
1917000,0.266,0.000,0.002,0.000
1919700,0.262,0.000,0.002,0.000
1922400,0.594,0.000,0.001,0.000
1925100,0.261,0.000,0.002,0.000
1927800,0.270,0.000,0.002,0.000
1930500,0.261,0.000,0.003,0.000
1933200,0.463,0.000,0.002,0.000
1935900,0.263,0.000,0.001,0.000
1938600,0.290,0.000,0.002,0.000
1941300,0.264,0.000,0.002,0.000
1944000,0.612,0.000,0.001,0.000
1946700,0.282,0.000,0.001,0.000
1949400,0.271,0.000,0.001,0.000
1952100,0.271,0.000,0.001,0.000
1954800,0.474,0.000,0.002,0.000
1957500,0.269,0.000,0.002,0.000
1960200,0.274,0.000,0.002,0.000
1962900,0.267,0.000,0.005,0.000
1965600,0.537,0.000,0.001,0.000
1968300,0.261,0.000,0.002,0.000
1971000,0.411,0.000,0.001,0.000
1973700,0.280,0.000,0.015,0.000
1976400,0.485,0.000,0.002,0.000
1979100,0.262,0.000,0.002,0.000
1981800,0.267,0.000,0.001,0.000
1984500,0.264,0.000,0.001,0.000
1987200,0.530,0.000,0.001,0.000
1989900,0.261,0.000,0.002,0.000
1992600,0.268,0.000,0.002,0.000
1995300,0.261,0.000,0.002,0.000
1998000,0.460,0.000,0.001,0.000
2000700,0.261,0.000,0.002,0.000
2003400,0.263,0.000,0.001,0.000
2006100,0.260,0.000,0.001,0.000
2008800,0.605,0.000,0.001,0.000
2011500,0.262,0.000,0.001,0.000
2014200,0.269,0.000,0.002,0.000
2016900,0.265,0.000,0.001,0.000
2019600,0.459,0.000,0.002,0.000
